title	body	date	rating
Absolutely horrible	Absolutely horrible. Microsoft finally decided to force an update to Skype despite just about every reviewer on the web pointing out just how bad the new Skype is, and how much of a step backwards it isThe interface and overall user experience is just horrid.Oh, and it is buggy too.Just let us upgrade to the old version; It was better in just about every way imaginable.	2019-03-01	1
Microsoft ruined this product	Microsoft ruined this product	2019-03-01	1
New Skype is horrible	New Skype is horrible. UX/UI, speed, everything else deserves 0 stars. Fire all people they were working on new version and bring back the old one. Personally I would be really ashamed to work on this trash.	2019-03-01	1
"I've had a ""paid"" Skype number for…"	"I've had a ""paid"" Skype number for about 8 years with a monthly ""subscription"" and with every (no fail) ""up-date"", it's gotten progressively worse. The ""new & improved"" begins with not ringing through for incoming calls so you're not aware that it's not working. Then comes the pop-up to ""up-date"" (or it won't ring, but they don't tell you that). OK. Go for the ""up-date"" and numbers are lost, incoming calls still won't ring through AND, more often than not, voice messages are indicated but can't be found. Meanwhile, Skype's quick at grabbing the ""fees"" and ""customer support"" is completely absent. Any correspondence that's acknowledged is incredibly insulting, and obviously ""foreign"". If ever there's a class action suit against the entire entity, I'll be in. They deserve to be sued at this point because it's not just ""buggy"", at this juncture it's blatant thievery. If any-one finds a suitable alternative, I hope they post here, as a kindness (that we don't receive from Skype) to all."	2019-02-24	1
Horrid	Horrible. The UI is a joke. The need to constantly update or it won't work. It is annoying. Whoever is in charge should be straight away fired. Horrible	2019-02-21	1
I've used this product for several…	I've used this product for several years and was a big fan. Spent an hour trying to get this upgrade to work, finally walked away - piece of Sh...!.	2019-02-21	1
Trash and manipulating.	Trash and manipulating.Suddenly, from nowhere does not let you in, when you need to talk to your old mother on another side of the Globe, demanding password instead of sign in automatically as usually, and you can not find it in any Safari passwords or Key Chain Access ... But it signed you in on line to your account automatically at the same time! Its MICROSOFT!I was using Skype since 2005 and went through all changes and let it go to hell finally.	2019-02-20	1
I like skype	I like skype and can relate	2019-02-14	5
trash update	trash update. will never use skype again	2019-02-14	1
Today I was forced to upgrade from…	Today I was forced to upgrade from Skype V7.4 which was the best version to date. Version 8 is a total nightmare where they have taken away the ability to have your contacts and chat window panes as two seperate windows. Now these are combined where you can only view one or the other! Added to this, a lot of the menus have been removed to make Skype (as they say) more user friendly. I personally believe this is untrue and just an excuse by Microsoft to limit what we can and can't do. Having been a Skype user for many, many years, I have now uninstalled the software and am moving to another product that actually listens to customers and understands their wants or needs. Reading a multitude of threads, Version 8 of Skype is vastly unpopular and Microsoft seem oblivious to this.	2019-02-11	1
my god the new update is a mess!!!!	my god the new update is a mess!!!!lots and lots of bugs, like endlessit gets stuck, it's just not working that good.and the features.... guys, please just make an effort!	2019-02-11	2
Very, very poor Skype	Very, very poor Skype!I have persevered for over a year with constant updates and log in verification issues. It is absolute pants.The final straw is now it won't log in for me at home and my parent's version is the same with too many updates and log in refusals.I will now look for a simpler product with fewer features that does not need to log in at all!	2019-02-10	1
totally ruined thanks microsoft	totally ruined thanks microsoft	2019-02-09	1
I used to use it for IM	I used to use it for IM, but the new version is awful and I want the old style back!	2019-02-09	1
Skype + MS = Fail	Agree, the new version is hideously bad, makes you click 10 x more to make a call.Time to find a new VoIP provider, I'll take my skype out a subscription with me.	2019-02-05	1
Actually 0/10	Hey, maybe don't force people to upgrade to your shittier version, yeah? <3	2019-02-05	1
Absolute crap, trash, microbigcrapsoft should go bankrupt	Absolute crap, forces people to update to even crappier and more complex versions, blackmails people to force them to give up more personal information, to put up codes and crap.Everything microbigcrapsoft touches, turns into absolute CRAP!I hope it bankrupts.	2019-02-04	1
garbage	garbage. works ok until it forces you to update or it doesn't let you use it. i don't need those f.ng updates. will switch to another chatting program, way more convenient, more flexible, and issueless.	2019-02-04	1
So they want to make skype worse and…	So they want to make skype worse and worse as time goes by ? bring back the classic version!!!!!!!	2019-02-03	1
Another company needs to build a replica	Another company/person needs to build a skype classic replica for all the OS's and devices.Release it with the same terms as old skype to hoover up all us lost personal and small business usersRIP Skype.	2019-02-03	1
This new update is absolutely terrible	"This new update is absolutely terrible, made an account just to make this review. Harder to use, looks like garbage, something that worked for 15 years did NOT need some ""modern"" makeover. Moving to Discord."	2019-02-02	1
uninstall after 10 years of using it.	uninstall after 10 years of using it.	2019-02-02	1
More like a downgrade	Forced to update this. Really bad in every way. I do not understand..so many university degrees and such an application...at least keep the classic version of Skype available -- this is a BASIC human-computer interaction principle. What is wrong with developers and management today...?	2019-02-02	1
Skype is now garbage..dont use!	"I was using Skype 7 (Classic) and had resisted updating, but this morning no choice and the update was ""forced"" on me-something I am really angry about. Instead of something that was simple, functional and reliable and helped my business, I have something that a teenager might use. Horrible interface, unable to use easily and way to easy to accidentally send emojis etc. Copying a conversation to quote to somebody else used to be a breeze, but now its a chore. Why oh why Microsoft have you imposed this monstrosity on people who (judging by the overwhelming reviews on here) simply don't want it??"	2019-02-01	1
The worst update ever seen	The worst update ever seen, cutting down many useful features	2019-01-31	1
The worst ever update	The worst ever update, basically they pushing you very hard to update you, MUST update otherwise you can't use the application. It doesn't matter your opinion whether you want or you dont want to upgrade. I will stop using skype.	2019-01-30	1
Non-existent customer service and help; refusal to provide a refund	"Having been advised I needed to seek a refund of my Skype Credits or to reactivate them, I followed the instructions - which didn't exist.I then tried contacting support - and there was no email. So a 30 second task became about 40 minutes before giving up.Next day, 20 minutes in, and I surrendered and tried the customer services ""chat"" again.An hour later, and the assistant had achieved nothing, but to advise me that in August last year, they were going to refund my credits, but didn't. I never managed to deal with his supervisor, as I was running late for a meeting.Before I left I asked for them to contact me via email, with confirmation the refund would be forthcoming immediately, as to refuse now - c. 5 months after they said it would be provided was not legal, and that should I sue, they would lose, and additional compensation would be due - as well as the additional costs.I haven't heard anything, so I am guessing Skype prefer to be sued than honour their legal obligations.======3 months later, and the UK CEO of  Microsoft has failed to reply to a message; the CEO of Microsoft has failed to reply to numerous emails; the Head of UK Legal Services was sent a letter (yes, that was the only option) which was also ignored.Maybe 6 days a week, Microsoft close my case without doing anything, thinking that is the ""right"" thing to do, so I write back explaining that the ONLY outcome will be for reimbursement, as they committed to it, plus compensation, which merely increases as the bullying, delays and harassment increase.Soon, lawyers will be employed, which will substantially increase their costs."	2019-01-30	1
Skype used to be awesome	"Skype used to be awesome. I remember the look in my father's eyes when he showed it to me, back when it came out. ""One day, everybody will call each other like this,"" He said. He was almost right, right until some update changed everything. Now, it is crap. The GUI is confusing, constricting, unclear. The software is slow and crashes a lot. I always resent when I have to use it, and I'm unfailingly boiling with rage over the software's F-ups by the time we get the call to work (usually 1 hour after schedule). This is one hell of a sad story."	2019-01-30	2
The new skype 8 sucks so bad	The new skype 8 sucks. Stop forcing us to uptade this $hit.. let the ppl use the old version.. fuc*ing a$s $hit skype trash.. I'm going to use discord. I do not want to waste time any more with this $hit program called skype	2019-01-30	1
Why to force me to upgrade to Skype 8…	Why to force me to upgrade to Skype 8 on my cell phone? What's the point to force users to use lame Skype 8? Skype 8 is completely rubbish!	2019-01-29	1
Good apps but sometime crash on my…	Good apps but sometime crash on my windows os. Keep update. Thanks!	2019-01-29	3
Skype has been outclassed by newer…	Skype has been outclassed by newer calling software.	2019-01-28	2
Forced into updating	Was forced into updating to the new version which faggen sucks lol	2019-01-28	1
Skype 8 lacking plenty of the features…	Skype 8 lacking plenty of the features available with Skype 7. Complete development of a new version instead of trying to force users of a perfectly fine version to use that crippled web app called Skype 8...	2019-01-28	1
The new version does not suit my needs	The new version does not suit my needs. Will go elsewhere.	2019-01-28	1
Skype 8 is garbage.	Microsoft transformed Skype into a garbage app.I installed classic Skype 7 long time go and had to decline updates every time it asked (There was an option to turn off updates, but MS removed it at some moment), but now it's over - Update or Quit. Shame on you Microsoft, you killed a good messenger.	2019-01-28	1
Lousy system	Lousy system - used to use skype as our chosen supplier interface. Now looking for an alternative. Too much screen used for no benefit. Have been reloading the older version for ages - now not allowed too.	2019-01-28	1
Skype 8 is an atrocious redesign…	Skype 8 is an atrocious redesign cutting down on all useful features Skype had before, being forced on all users now without a possibility to use the classic Skype.	2019-01-27	1
If I could give negative stars I would	If I could give negative stars I would. Since the upgrade to V8 on PC the presence status is useless. I have no idea when my contacts are online and available for a call and I presume them the same with me. Also Microsoft have an annoying habit on their forums of posting updates and engaging for while on reported issues (such as this) but then lock the thread after a few months but before implementation of fixes/changes they have indicated will be made leaving you wondering if the fix is delayed or abandoned or they just don't care anymore.	2019-01-25	1
The new Skype stinks	Skype used to be a simple, effective, user-friendly app. EVERYTHING about the new Skype is bad. All the useful features have been removed. The new version is klutzy - e.g. several clicks to delete chats one by one!?? Very difficult to do anything. Nothing is intuitive. What happened to the useful symbol 'away'? Now I can only put 'invisible'. I used 'away' when I wanted to talk to just one person.  When I call skype to skype, there is an annoying beating heart symbol at the bottom of the video screen. Very irritating. When I was forced to upgrade (downgrade, actually), names of old contacts I had removed years ago appeared in my contacts list. I can find no way to remove them - only block them. My contacts list gets cluttered with a list of conversations I've made, and I can only remove those one by one. I could go on indefinitely about the bad features. What kind of morons designed this new version?! I will be migrating from skype as soon as I find an intelligent replacement.	2019-01-25	1
Since I was forced to change to Version…	Since I was forced to change to Version 8 I have hardly used Skype. In fact I find it pretty well unusable except for phoning landlines. I find the wave feature childish and irritating, and I would turn it off if I could. Skype used to be a great product. Such a shame!	2019-01-25	1
Ever sense Microsoft has purchased…	Ever sense Microsoft has purchased Skype the service has gootten worse, the new desktop app is less reliable, they took away all of abilities to save conversations or not, I don't appreciate  the data mining they are doing and reading my conversations. Microsoft really doesn't care about the user anymore. This co-insides with the view on Windows 10.	2019-01-24	1
horrible new update	Why does every version of skype keep getting worse.  ifi wanted facebook messenger id use that.  So long skype, ill be finding an alternative until they come to their senses.	2019-01-24	1
If I wanted to use a version of…	"If I wanted to use a version of Facebook Messenger, I would, but I don't.  Ever since Microsoft purchased Skype you guys have been shooting yourselves in the foot, over and over. MS bought Skype, then merged it with Microsoft Messenger, and they killed that off. That was bad enough, as I used to keep those to lists of people separate for a reason. Then came the idiotic updates that stripped features and controls away from the user. Switch off automatic updates even though what you're using is working flawlessly?  Oh hell no! Trying to use the excuse of security?  Nope, it's not Microsoft's or Skype's job to keep MY computer safe. That's my job. I don't need a nanny.But this latest stunt of shutting down Skype, and being FORCED to update with this silly popup saying ""You haven't updated in a long time"" or else.  Really?  I checked via certain programs and v7x and v8x both access the same servers/relays, so it can't be you're 'retiring' it because of that.  So KNOCK THE CRAP OFF!  I didn't update in a long time because what I had worked fine!  So, leave off the forced updating, or revamp that tacky, obnoxious, loathsome Facebook Messenger Wanna be GUI and give us the option to have a ""Classic"" GUI, or there will still be thousands of formums with thousands (if not more) readers per forums, finding and using ways to bypass your bullying tactics."	2019-01-23	1
BAD? it's terrible, horrible, shocking, outrageous, atrocious, flagrant!	"I'm using skype since 2008, and i quit skype 1 months ago starting using telegram! why? i will summary the features of ""microsoft skype"" as below:1- crash all your chat history2- slow chat experience, losing connectivity every 2 minutes.3- laggy software just like internet explorer.Thanks microsoft for spoiling one of best software's ever."	2019-01-22	1
Looks like Microsoft hasn't learned…	"Looks like Microsoft hasn't learned from theirs Windows 8 history. They have ruined the Skype with upgrade to ver 8, and couldn't fix this during the whole YEAR of bug fixing and ""enhancements"". This is soo sad , and makes me so angry ..."	2019-01-22	1
Probably the worst software application I’ve ever used	Skype 8 is a dreadful redesign of an application that in previous versions basically worked although it was never the same once Microsoft took it over.To say it has been dumbed down would be an understatement. Many things that used to work no longer do. Where is my chat history going back years? Why is searching within chat windows useless? Why does hovering emojis not show the shortcut anymore? Why does pasting an image into a chat window immediately deliver it without the failsafe need to press Enter first?An utterly appalling application that will hopefully be resigned to the scrap heap in the next few years as tools such as the infinitely superior Slack gain more traction.	2019-01-21	1
New Skype reflects on Who and What…	New Skype is Who Microsoft is today...they hire programmers from all over the world and turn the company over to them. Everybody knows Programmers no nothing about what Users want....There is No chance any serious Customer/Consumer input was sought or used in making these changes and this is what you get from people who don't even use the Software they produce. Smart companies would allow you to keep the old version, but Microsoft only listens to Voices that want new ones...No doubt any New they get will be a Net Loss. Big	2019-01-20	1
Skype 8 for windows desktop	Both thumbs down for version 8. Microsoft writes that the new version has all features from version 7 ..... the truth is that almost none of the important features are there.Compared to version 7, version 8 is a nightmare that Microsoft now forces millions of users to install if they will continue to use skype.	2019-01-20	1
Skype 8, the version that killed Skype for me.	"I have used Skype since 2004~2005 and never had a need for an alternative but, then Microsoft stepped in. Ever since then the quality and usability just kept going down hill, never ending troubleshooting. The few better features of Skype aren't worth the trouble, plenty of alternatives. I have been considering alternatives for a while and Skype 8 finally gave me the reason to move to something else. The forced update refused to work for me, couldn't get past the log in screen, was stuck on never ending load screen. With all the troubleshooting i had to do with Skype in the past year i just didn't bother anymore. ""Good job"" MS team responsible for Skype. They took something that was working fine and destroyed it. With Skype classic dead, Skype is dead. From the comments it seems its not just me, but quite a few average Skype users."	2019-01-19	1
Call us overprotective but...	Call us overprotective but.... fork yourself ?	2019-01-19	1
Absolute rubbish	Absolute rubbish.  And being FORCED to use it is unacceptable.  I have already cancelled my subscription.Cant find an 'away' status for contacts - only green online and nothing else.  I want to know if my contacts are online and away so i can send them a message and at least have the knowledge that they may see it soon before logging off.  Why make something that was good and very user friendly to a version that has important functions removed.  Surely you should be adding - not subtracting!Totally disgusted!	2019-01-19	1
The worst programme ever?	One of the worst programmes I have ever had. Skype couple years ago use to be a simple tool for calling and they were good at it! Now its slow, not working, complicated, unreliable, integrated system that I recommend not to use. The invoicing system? Ridiculous. If you wanna contact somebody? You cannot, you only get automated messages... Once my license is done, I erase, delete, ban skype from my PC and life.btw. world unlimited calling to 63 destinations is pure lie as you can only call to 8 mobile lines.	2019-01-18	1
Skype team - READ!	I rarely even register anywhere to make reviews but i am devastated by the stupidity of the team that approved such a version to reach LIVE in 21st century. This version is worse than Skype 1.0 and i am not exaggerating. And now to the details:- It is obvious that you have just merged the so called Lite version with the desktop one. The target group of Skype is people between 30 and 40 - this version is for teenagers that do not play around with the chat splits and resizable chat boxes.- Alt+Tab between the different chats on two screens was making Skype the only usable chat software up until now.- You have removed the resizing of the reply section, why? Because you removed the chat splits of course...- The update itself - is your product manager from North Korea? I haven't seen such a MUST-INSTALL-OR-I-WILL-CLOSE-THE- PROGRAM update since 2003. Not to mention the animated actors greeting me for successfully obeying to the ORDER of installing this  downgrade of Skype - all are from different colors except for the white guy who, according to Skype, is handicapped???- The only positive thing is that you have actually realized that even in non-splitable chats you are wasting my time by making me click on the reply SECTION in order for skype to allow me to start typing. This was relevant for your previous version - now it is fixed and the cursor is there blinking once you change the names - WOW, enormous update!Seriously at least allow your users to downgrade to previous versions. I assume you have migrated skype to a completely new architecture and this is quite impossible but before doing that your team must have studied the most used features of your program. This version is making everyone work slower than before.	2019-01-18	1
